ItemID	Sound.file	item.x	PhrasalAccentSonia	AnyAccentSonia	AccentIngo	Text
12	sw02012	immediate	no	no	no	and it's TI calling my immediate reaction is th[at]- -[i]t's some
118	sw02171	immediate	no	no	no	don't know anybody in my immediate family that has or you
260	sw02441	immigrant	no	no	no	he came from a poor immigrant family and he didn't have
262	sw02441	uneducated	no	no	no	and that'll help the country eventually too because rather than having a bunch of uneducated people we can have educated people and that's only gonna help
421	sw02739	immediate	no	no	no	to change uh in the immediate future
515	sw02936	unnecessary	no	no	no	back on some of this unnecessary spending right and uh you
565	sw03103	impregnated	no	no	no	up even though he had impregnated another woman and forced the
589	sw03191	unable	no	no	no	because of arthritis she's just unable to get out of bed
766	sw04051	unemployed	no	no	no	un[employed]- the part of the unemployed society be able to be
844	sw04326	immediately	no	no	no	on one drug test they're immediately discharged now for certain ranks
851	sw04337	implicit	no	no	no	yeah it's uh does carry an implicit danger with it that way
920	sw02001	unexpected	no	no	no	up during the day sometimes unexpected meetings or a client would
396	sw02709	imminent	no	unclear	no	uh you know i- i- i think there's something about being able to to claim um imminent danger or i'm not sure
435	sw02757	immediately	no	unclear	no	drug regulated crimes and they immediately decided well lets start banning
487	sw02887	unnecessary	no	unclear	no	you know seems like an unnecessary penalty yeah i mean i'm
737	sw03942	unethical	no	unclear	no	um uh uh can all unethical behavior or how much unethical
166	sw02259	immigrate	no	yes	no	spent years and years uh lobbying for their release and their ability to um immigrate from Russia as soon as that occurred we
167	sw02259	immigrant	no	yes	no	uh an immigrant family or immigrant families on both sides both my mother's parents and my father's parents were immigrants so
172	sw02271	undefeated	no	yes	no	well they're so close to an un[defeated]- undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation
184	sw02298	immediate	no	yes	no	yeah i guess that was the immediate cause
345	sw02591	immediate	no	yes	no	and in a uh my immediate parents were both in banking
624	sw03404	unusual	no	yes	no	and he has all these unusual frames that he uses his
662	sw03601	immediate	no	yes	no	old age but we're getting immediate effect of them like for
790	sw04132	unscrewing	no	yes	no	not that much trouble just unscrewing a few pipes and screwing
812	sw04221	unnatural	no	yes	no	would defiantly fall in the unnatural category
881	sw04659	immigrant	no	yes	no	most of the of the next generation is going to be in or or an ex[tremely]- ex[tremely]- extremely large par[t]- part of the next generation is going to be you know second generation f[rom]- uh from immigrant parents
670	sw03635	imposes	no	unclear	yes	hm but don't you don't you find that that sort of i[mposes]- imposes a um
673	sw03640	unusual	no	unclear	yes	said that it was an unusual occurrence to have that
681	sw03675	unusable	no	unclear	yes	uh diskettes were just totally unusable
692	sw03738	unemployment	no	unclear	yes	look at the the high unemployment rate right now and you
752	sw04014	impairment	no	unclear	yes	yeah and and you know i i agree with with a lot of people that you know claim instead of noise having random drug tests for continuing employment have um motor impairment tests um because you know the they they would not be any more pr[iced]- they would they would
754	sw04025	immediate	no	unclear	yes	together on hi[s]- in his immediate family but there were seven
805	sw04186	unusual	no	unclear	yes	uh playful he's the for unusual unusual for a cat when
834	sw04300	imparted	no	unclear	yes	on the actual message being imparted it it cer[tainly]- it certainly
338	sw02567	unpopular	no	yes	yes	um yeah i think we realize it's failed we just don't we just don't nobody wants to make the nobody wants to make the uh unpopular decision of going in and invading
760	sw04038	impaneling	no	yes	yes	i'd be questioned uh for impaneling the jury and they kept
328	sw02537	implement	unclear	no	no	of a smoke screen to implement it throughout the whole company
730	sw03890	immediately	unclear	no	no	and and the NCAA uh immediately suspended him and then and
845	sw04330	immediate	unclear	no	no	section or it's reasons for immediate dismissal it says use of
469	sw02846	immediate	unclear	unclear	no	you know one of her immediate long range objectives
485	sw02883	immediately	unclear	unclear	no	but it's you know not immediately handy i think uh they're
755	sw04028	immediately	unclear	unclear	no	uh at that time i immediately joined the HMO and i
808	sw04205	unquestionably	unclear	unclear	no	military we un[questionably]- you know unquestionably quick ass in Vietnam
917	sw02001	unusual	unclear	unclear	no	an ex[tremely]- you know an unusual day
282	sw02459	implant	unclear	yes	no	then and uh but you implant the idea that this is
444	sw02788	unlicensed	unclear	yes	no	you know they still have unlicensed babysitters running around up here
483	sw02878	unacceptable	unclear	yes	no	whole batch and uh uh unacceptable plastics in with the plastics
545	sw03039	impart	unclear	yes	no	oh well good impart me some wisdom Catherine
606	sw03286	immigrated	unclear	yes	no	my brother-in-law who's Chinese and immigrated from China and um you
635	sw03487	unused	unclear	yes	no	that maybe the they were unused to their the the way
660	sw03601	immediately	unclear	yes	no	and if something happens they're immediately there
675	sw03652	unanswered	unclear	yes	no	fourth quarter to score three unanswered touchdowns in less than six
771	sw04064	unequal	unclear	yes	no	the the same crime gets unequal sentences i uh i- i
778	sw04090	unnecessary	unclear	yes	no	handle on kind of the unnecessary expenses we were before we
820	sw04250	immediately	unclear	yes	no	well the area immediately north of you and immediately west of you is not a very good area
835	sw04301	unethical	unclear	yes	no	someway we can make all unethical things illegal and i'm just
853	sw04340	imperfect	unclear	yes	no	well yeah i mean the system isn't perfect i mean it's run by a bunch of imperfect humans
869	sw04540	unwarranted	unclear	yes	no	go in for some some unwarranted searches and seizures of any
86	sw02116	impress	unclear	unclear	unclear	right well some people i'm sure the the more talented people in that league are going to try to uh impress NFL scouts with their play in that league
156	sw02238	immediately	unclear	unclear	unclear	he was put on insulin immediately but his diet he wasn't
652	sw03577	unfortunately	unclear	unclear	unclear	uh well i guess the feeling as much as i hear by is that uh Gorbachev is is is done for unfortunate[ly]- oh unfortunately in a way
174	sw02281	impacted	unclear	yes	unclear	and of things that have impacted just the the you know
463	sw02836	immediate	unclear	yes	unclear	our major crimes in our immediate town uh is probably robberies
36	sw02028	unusually	unclear	no	yes	no but we've had an unusually uh uh warm
51	sw02041	implies	unclear	no	yes	perhaps it's because somehow that implies to me it's not fun
96	sw02137	unemployment	unclear	no	yes	well but the the issue of of of would y[ou]- what what would what would you find it what would you have them_1 do you know there're a lot of people around with there's a lot of unemployment right now what would you have these people do if they were brought in
115	sw02166	immediately	unclear	no	yes	the door they're making money immediately it's it's a smart operation
217	sw02349	implementing	unclear	no	yes	or how they plan on implementing it if they do
240	sw02389	unemployment	unclear	no	yes	f[rom]- that's that's increasing more unemployment for people that need to
285	sw02468	immediately	unclear	no	yes	that and poor Janet realized immediately she didn't mean that she
308	sw02503	unable	unclear	no	yes	a disabled person so i'm unable to to really take care
650	sw03569	immediately	unclear	no	yes	i found a cure they immediately the headlines on the news
806	sw04204	importer	unclear	no	yes	not sure whether it's an importer or not
68	sw02064	imprisonment	unclear	unclear	yes	you know maybe it's life imprisonment or you know something i
71	sw02080	impressed	unclear	unclear	yes	i saw a log cabin built down there that i was really impressed with and it sounds like it's similar to the open construction that you're going to have where the only thing enclosed upstairs were the bedrooms
132	sw02198	impersonation	unclear	unclear	yes	like a pseudo Elvis Presley impersonation through the whole movie he's
248	sw02404	immediately	unclear	unclear	yes	if anyone comes over she immediately goes into hiding but um
388	sw02681	implementation	unclear	unclear	yes	objection to it prior to implementation or
406	sw02723	unemployment	unclear	unclear	yes	you get six months uh unemployment from the state
530	sw02999	immediately	unclear	unclear	yes	immediately yeah but that's what happened with us like we bought a washing machine seven months ago and then i got billed like the next day
558	sw03076	unnecessary	unclear	unclear	yes	of action and that's completely unnecessary In another particular case they
579	sw03135	impersonal	unclear	unclear	yes	so noise seemed cold and impersonal i just couldn't hack it
634	sw03481	unusual	unclear	unclear	yes	well it was in the seventies here today and that's that's really i think that's unusual for Dallas because_1 i think by now it's snowing and we're having i[ce]- well last year i've only lived here for two years but last year at this time there was
683	sw03684	unusual	unclear	unclear	yes	dollars or less they that's unusual these days if you go
689	sw03729	unusual	unclear	unclear	yes	which is such a an unusual always have to go to
780	sw04101	unemployment	unclear	unclear	yes	that are on welfare and unemployment insurance that kind of thing
804	sw04183	undevoted	unclear	unclear	yes	totally undevoted totally devoted uh noise
824	sw04270	undeserving	unclear	unclear	yes	large damages that were really undeserving from a legal point of
841	sw04316	immediately	unclear	unclear	yes	something that she could hit immediately and and really annoy a
20	sw02017	impression	unclear	yes	yes	kind of just got the impression it was out of our
75	sw02087	unable	unclear	yes	yes	that the person were just unable to participate i guess i
111	sw02162	unconventional	unclear	yes	yes	well the thing i liked about it was that it was so unconventional that you couldn't predict what was coming next
267	sw02443	unofficially	unclear	yes	yes	i'm uh i'm officially retiring unofficially i'm going to go to
357	sw02619	unfamiliar	unclear	yes	yes	if somebody ha[d]- is totally unfamiliar with it uh human nature
468	sw02840	immediately	unclear	yes	yes	a student with a beeper immediately gets sent down to the
513	sw02934	immediately	unclear	yes	yes	oh i see so you so you don't ha[ve]- you don't get anything off the Gulf uh immediately from from the ocean
517	sw02940	impelled	unclear	yes	yes	then i'm of course i'm impelled also and uh
528	sw02987	unopened	unclear	yes	yes	of the time it goes unopened
537	sw03023	immediate	unclear	yes	yes	fight you know the the immediate need to show some sort
546	sw03045	unplugged	unclear	yes	yes	about it tell daddy i unplugged it for you but you
555	sw03065	immediately	unclear	yes	yes	they they have to change immediately they could just you know
637	sw03500	unnecessary	unclear	yes	yes	well that's true they are because the doctors are performing many more tests many of them are unnecessary they are doing so many C sections
671	sw03635	imposition	unclear	yes	yes	know it seems quite an imposition on on personal freedom to
674	sw03645	immediacy	unclear	yes	yes	is they don't have the immediacy of you know radio or
773	sw04068	unnecessary	unclear	yes	yes	don't to me it seems unnecessary um i think that the
786	sw04120	unproductive	unclear	yes	yes	u[nproductive]- unproductive nature of it that basically uh
793	sw04136	uninformed	unclear	yes	yes	evening some i'm pretty pretty uninformed uh but those were my
809	sw04207	improperly	unclear	yes	yes	oh really if you mix and match things improperly
818	sw04241	unincorporated	unclear	yes	yes	community now we're i'm in unincorporated i'm in the county by
848	sw04333	unimportant	unclear	yes	yes	to get rid of the unimportant things and whenever there's that
852	sw04338	immediate	unclear	yes	yes	well in terms of of immediate expenses like clothing um i purchase those out of my income and i get reimbursed
865	sw04383	unregulated	unclear	yes	yes	why they should be uh unregulated and and over the last
866	sw04433	immediately	unclear	yes	yes	hello from downstairs so she immediately calls 911 and uh the
880	sw04659	immigration	unclear	yes	yes	we have continuation large scale immigration into the country
502	sw02915	implication	yes	no	no	mean there's actually less tax implication if i don't work full
538	sw03028	unnatural	yes	unclear	no	these hormones to promote uh unnatural growth in their products
874	sw04611	immediately	yes	unclear	no	involved in it then you immediately realize that what they print
258	sw02433	immobilized	yes	yes	no	in some kind of um immobilized walker because he doesn't like
298	sw02485	immediate	yes	yes	no	it wasn't any of my immediate family anyway because_1 i didn't
399	sw02713	uncourteous	yes	yes	no	of that that's a real uncourteous thing an an invasion of
476	sw02860	unmarried	yes	yes	no	the the fact that they're unmarried has nothing to do with
480	sw02867	unloaded	yes	yes	no	hey your your gun's not unloaded you know you have to
556	sw03067	immediate	yes	yes	no	i think with with our immediate family as opposed to this
585	sw03161	immediate	yes	yes	no	my mind not having any immediate friends with that problem is
668	sw03626	impoverished	yes	yes	no	which ah impoverished college student this one went
708	sw03825	unusual	yes	yes	no	well this is an unusual topic what do you think
817	sw04238	immediately	yes	yes	no	that'll do it everytime you immediately get pregnant if you do
828	sw04291	immediate	yes	yes	no	cognizant of sort of your immediate area environment and surroundings so
247	sw02404	unaccustomed	yes	unclear	unclear	your house that if you're unaccustomed to that you wouldn't like
