ItemID,item,PartofSpeechWord,Base,PartofSpeechBase,WordFormFreqSpokenCOCA,BaseFormFreqSpokenCOCA,WordLemmaFreqSpokenCOCA,BaseLemmaFreqSpokenCOCA,BaseFormFreqAllCoca,WordFormFreqAllCoca,WordLemmaFreqAllCoca,BaseLemmaFreqAllCoca,Speaker,Pos,Orthography,SematicTransparency,MorphGeminate,DeletionMorph,DeviantPronun,PauseMorph,AffixStressLongman,AdjSyllableStressLongman,AffixStress,AdjSyllableStress,Compound+AF8-yes+AF8-no,Compound
163,discipline,n,NA,NA,1501,NA,1589,NA,NA,12340,16884,NA,sw2589+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,p,u,p,u,yes,attention deficit disorders
19,discipline,n,NA,NA,1501,NA,1589,NA,NA,12340,16884,NA,sw2988+AC0-ms98+AC0-a,P,disC,n,maybe,N,N,N,p,u,p,u,yes,beer distributors
229,disagree,v,agree,v,4515,19564,5593,27507,40882,9376,13428,83001,sw3800+AC0-ms98+AC0-a,P,disV,y,no,N,N,N,s,u,s,u,yes,coronary artery disease
290,Disney,n,NA,NA,1542,NA,1542,NA,NA,9184,9184,NA,sw3614+AC0-ms98+AC0-a,M,disC,n,no,N,Y,N,p,u,p,u,yes,disaster work
270,dismemberment,n,memberment,n,27,0,27,0,0,253,253,0,sw4159+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,yes,disasters area
112,disability,n,ability,n,554,6141,1117,6582,49022,6766,17388,56323,sw2799+AC0-ms98+AC0-a,P,disV,y,no,N,N,N,s,u,s,u,yes,discipline problems
46,discipline,n,NA,NA,1501,NA,1589,NA,NA,12340,16884,NA,sw3821+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,p,u,p,u,yes,discipline problems
76,district,n,NA,NA,5480,NA,6604,NA,NA,44027,53953,NA,sw3129+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,p,u,p,u,yes,discipline problems
199,dissimilated,v,similated,v,0,0,0,0,0,2,0,0,sw2585+AC0-ms98+AC0-a,M,diss,o,yes,V,N,N,d,p,d,p,yes,Discover card
115,disservice,n,service,n,234,12159,233,18549,92250,730,721,160876,sw4503+AC0-ms98+AC0-a,M,diss,y,yes,N,N,N,u,p,d,p,yes,Discover card
38,discipline,n,NA,NA,1501,NA,1589,NA,NA,12340,16884,NA,sw3023+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,p,u,p,u,yes,Discover card
285,disappointing,j,NA,NA,542,NA,519,NA,NA,3011,2836,NA,sw4146+AC0-ms98+AC0-a,M,disV,n,no,N,N,N,s,u,s,u,yes,Discover card
209,disappeared,v,appeared,v,1920,3332,0,0,35245,13008,0,0,sw2264+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,s,u,s,u,yes,Discover Magazine
289,discipline,n,NA,NA,1501,NA,1589,NA,NA,12340,16884,NA,sw2732+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,p,u,p,u,yes,Discovery Channel
244,discipline,n,NA,NA,1501,NA,1589,NA,NA,12340,16884,NA,sw3873+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,p,u,p,u,yes,dismemberment policy
282,discussed,v,NA,NA,2624,NA,0,NA,NA,17085,0,NA,sw2130+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,u,p,u,p,yes,Disney World
207,discipline,n,NA,NA,1501,NA,1589,NA,NA,12340,16884,NA,sw3375+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,p,u,p,u,yes,garage disposals
132,disease,n,ease,n,8319,1090,10131,435,11683,46058,57357,6686,sw3151+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,yes,heart disease
53,disappointed,j,NA,NA,1949,NA,1708,NA,NA,8315,7331,NA,sw3010+AC0-ms98+AC0-a,M,disV,n,no,N,N,N,s,u,s,u,yes,heart disease
158,disappointed,j,NA,NA,1949,NA,1708,NA,NA,8315,7331,NA,sw3507+AC0-ms98+AC0-a,M,disV,n,no,V,N,N,s,u,s,u,yes,learning disabilities
194,district,n,NA,NA,5480,NA,6604,NA,NA,44027,53953,NA,sw3752+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,p,u,p,u,yes,learning disability
191,disappointing,j,NA,NA,542,NA,519,NA,NA,3011,2836,NA,sw3859+AC0-ms98+AC0-a,M,disV,n,no,N,N,N,s,u,s,u,yes,learning disabled
67,disappear,v,appear,v,907,4177,3301,12756,34914,7167,25156,107522,sw3803+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,s,u,s,u,yes,liquor distiller
99,disciplined,j,NA,NA,463,NA,210,NA,NA,2454,1399,NA,sw2718+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,p,u,p,u,yes,liquor distiller
11,disagree,v,agree,v,4515,19564,5593,27507,40882,9376,13428,83001,sw2638+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,s,u,s,u,yes,long+AC0-term disability
151,disgraceful,j,graceful,j,183,172,183,172,2778,459,459,2778,sw4474+AC0-ms98+AC0-a,M,disC,y,no,N,N,N,u,p,d,p,yes,Master's dissertation
69,discussing,v,NA,NA,1620,NA,0,NA,NA,8138,0,NA,sw2758+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,u,p,u,p,yes,multi disciplinary
279,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw2826+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,yes,red light district
102,dissatisfied,j,satisfied,j,216,1547,216,628,9679,1493,1493,4966,sw2897+AC0-ms98+AC0-a,M,diss,y,yes,N,N,N,s,p,d,p,yes,school district
125,disappeared,v,appeared,v,1920,3332,0,0,35245,13008,0,0,sw3165+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,s,u,s,u,yes,school district
138,Discover,n,cover,n,1150,7843,0,3800,48648,11082,1,24706,sw3781+AC0-ms98+AC0-a,P,disC,?,no,N,N,N,u,p,d,p,yes,school district
35,disciplinarian,n,NA,NA,52,NA,59,NA,NA,220,283,NA,sw2515+AC0-ms98+AC0-a,M,disC,n,maybe,N,N,N,s,u,s,u,yes,school districts
180,discuss,v,NA,NA,4554,NA,8970,NA,NA,20164,48154,NA,sw3388+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,u,p,u,p,yes,school districts
242,disappointment,n,NA,NA,702,NA,812,NA,NA,5235,6075,NA,sw2866+AC0-ms98+AC0-a,M,disV,n,no,N,N,N,s,u,s,u,yes,school districts
248,disaster,n,NA,NA,4027,NA,4644,NA,NA,13827,16906,NA,sw4687+AC0-ms98+AC0-a,P,disV,n,no,N,N,N,u,p,u,p,yes,school districts
31,disappointed,j,NA,NA,1949,NA,1708,NA,NA,8315,7331,NA,sw2459+AC0-ms98+AC0-a,M,disV,n,no,N,N,N,s,u,s,u,yes,space disaster
196,districts,n,NA,NA,1116,NA,0,NA,NA,9870,0,NA,sw4209+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,p,u,p,u,yes,subway disaster
143,discuss,v,NA,NA,4554,NA,8970,NA,NA,20164,48154,NA,sw2670+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,u,p,u,p,yes,ten percent discount
30,distinctive,j,NA,NA,260,NA,260,NA,NA,5687,5687,NA,sw4445+AC0-ms98+AC0-a,M,disC,n,no,N,N,N,u,p,u,p,yes,trash disposal
51,disruptive,j,ruptive,j,235,0,235,0,0,2361,2361,0,sw2407+AC0-ms98+AC0-a,P,disC,o,no,N,N,N,u,p,d,p,no,NA
122,disposables,n,posables,n,2,0,0,0,0,99,7,0,sw2815+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
150,distributors,n,tributors,n,155,0,0,0,0,1374,2,0,sw4118+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
253,disposals,n,posals,n,2,0,0,0,0,32,0,0,sw2643+AC0-ms98+AC0-a,M,disC,o,no,N,Y,N,u,p,d,p,no,NA
3,discouraging,j,couraging,j,197,0,121,0,1,1266,726,0,sw3206+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
166,discoveries,n,coveries,n,336,0,0,0,1,3225,1,1,sw2920+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
220,discouraging,j,couraging,j,197,0,121,0,1,1266,726,0,sw2111+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
300,discoveries,n,coveries,n,336,0,0,0,1,3225,1,1,sw3401+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
185,dissenting,j,senting,j,130,0,81,0,2,1063,416,0,sw4261+AC0-ms98+AC0-a,M,diss,o,yes,N,N,N,u,p,d,p,no,NA
205,distributing,v,tributing,v,235,0,0,0,2,1542,1,0,sw4831+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
41,distracting,j,tracting,j,172,0,47,0,3,1172,296,0,sw4298+AC0-ms98+AC0-a,E,disC,o,no,N,N,N,u,p,d,p,no,NA
156,disposal,n,posal,n,362,0,364,0,3,4428,4484,3,sw3154+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
293,discouraged,v,couraged,v,361,0,0,0,3,2685,0,1,sw2469+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
267,distributed,v,tributed,v,545,0,0,0,4,7251,0,2,sw4707+AC0-ms98+AC0-a,P,disC,o,no,N,Y,N,u,p,d,p,no,NA
20,disposable,j,posable,j,185,0,185,0,6,1654,1654,6,sw3128+AC0-ms98+AC0-a,P,disC,o,no,N,N,N,u,p,d,p,no,NA
34,disposable,j,posable,j,185,0,185,0,6,1654,1654,6,sw2672+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
240,disposable,j,posable,j,185,0,185,0,6,1654,1654,6,sw2071+AC0-ms98+AC0-a,E,disC,o,no,N,N,N,u,p,d,p,no,NA
294,Discovery,n,covery,n,1969,0,2308,0,6,13435,16677,6,sw2162+AC0-ms98+AC0-a,M,disC,?,no,V,N,N,u,p,d,p,no,NA
136,distractions,n,tractions,n,155,0,0,0,10,1270,0,0,sw2596+AC0-ms98+AC0-a,M,disC,o,no,N,N,N,u,p,d,p,no,NA
23,dispelled,v,pelled,v,30,0,0,0,14,296,0,6,sw2305+AC0-ms98+AC0-a,E,disC,o,no,N,N,N,u,p,d,p,no,NA
245,disabled,j,abled,j,942,0,812,0,37,7073,6368,12,sw3062+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,u,p,d,p,no,NA
261,disposer,n,poser,n,2,5,2,10,64,32,44,89,sw3489+AC0-ms98+AC0-a,P,disC,o,no,N,N,N,u,p,d,p,no,NA
144,disables,v,ables,v,7,8,0,0,167,68,0,0,sw2177+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,u,p,d,p,no,NA
298,disadvantaged,j,advantaged,j,216,21,207,8,239,2107,2064,103,sw2013+AC0-ms98+AC0-a,M,disV,y,no,N,Y,N,s,u,s,u,no,NA
106,distiller,n,stiller,n,2,92,12,97,510,71,169,493,sw3544+AC0-ms98+AC0-a,E,diS,o,no,N,N,N,u,p,u,p,no,NA
198,distiller,n,stiller,n,2,92,12,97,510,71,169,493,sw4039+AC0-ms98+AC0-a,E,diS,o,no,N,N,N,u,p,u,p,no,NA
13,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw3097+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,no,NA
52,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw4364+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,no,NA
55,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw3843+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,no,NA
81,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw4861+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,no,NA
177,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw2957+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,no,NA
202,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw4629+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,no,NA
265,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw3924+AC0-ms98+AC0-a,M,disV,o,no,N,N,N,u,p,d,p,no,NA
272,diseases,n,eases,n,1801,36,1,0,732,11052,32,0,sw4305+AC0-ms98+AC0-a,E,disV,o,no,N,N,N,u,p,d,p,no,NA
101,disorient,v,orient,v,8,104,19,226,1134,71,247,3386,sw2324+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,d,p,d,p,no,NA
85,disintegrating,v,integrating,v,79,97,0,0,2255,486,0,0,sw4005+AC0-ms98+AC0-a,M,disV,y,no,N,N,N,u,p,d,p,no,NA
251,disintegrating,v,integrating,v,79,97,0,0,2255,486,0,0,sw4005+AC0-ms98+AC0-a,E,disV,y,no,N,Y,N,u,p,d,p,no,NA
