ItemID,item,AbsDur,WordDur,PrecSeg,PrecSegDur,FollSeg,FollSegVC,FollSegDur,LocSpeech,PreSuf,SyllAct,NumberOfSegments,PrefixDur
239,dissertation,0.0965962931,0.5835178571,I,0.0370793167,2,V,0.053425,13.7099488937,initialNoMorph,4,8,0.1822
70,discern,0.1815,0.69825,I,0.06125,3,V,0.1486875,8.5929108485,prefix,2,6,0.303
214,dissertation,0.0804923077,0.670125,I,0.0614843254,3,V,0.065625,8.9535534415,initialNoMorph,3,6,0.188375
281,disservice,0.2054375,0.678125,I,0.0452708333,9,V,0.1099583333,11.797235023,prefix,3,8,0.3202083333
288,discernment,0.1487924107,0.560725,I,0.052921875,9,V,0.1006009317,12.4838378884,prefix,3,7,0.2449642857
1,disappears,0.0847871795,0.7594583333,I,0.0513958333,?,V,0.0201711538,9.2170955176,prefix,2,7,0.2069538462
6,disasters,0.0554044118,0.641175,I,0.0648872549,{,V,0.1444281705,12.4770928374,initialNoMorph,3,8,0.195975
12,disasters,0.097125,0.75525,I,0.0375625,{,V,0.195,11.9165839126,initialNoMorph,3,9,0.1905
25,disastrous,0.10205,0.8334954545,I,0.0648931818,{,V,0.16,9.5981327269,initialNoMorph,3,8,0.2315454545
44,dissatisfied,0.135525981,0.751875,I,0.04575,{,V,0.1136525904,10.6400665004,prefix,4,8,0.240275981
61,disaster,0.1427098214,0.8573708333,d,0.11529375,{,V,0.2597100898,6.9981386895,initialNoMorph,3,6,0.2580035714
63,disaster,0.076025,0.5196948198,I,0.0831666667,{,V,0.1624885135,13.4694434754,initialNoMorph,3,7,0.1997333333
92,dissatisfied,0.1082760417,0.69709375,I,0.048703125,{,V,0.1189833333,14.3452727843,prefix,4,10,0.2166354167
102,dissatisfied,0.1284712963,0.7658290255,I,0.0511441799,{,V,0.1200229167,13.0577448329,prefix,4,10,0.2343714497
135,dissatisfied,0.0891785714,0.6323928571,I,0.0601856061,{,V,0.1145942308,15.8129553284,prefix,4,10,0.187
153,disastrous,0.0950329304,0.8967238124,I,0.0841609578,{,V,0.2578915322,10.0365350803,initialNoMorph,3,9,0.2542741289
157,disaster,0.0913077532,0.6238911295,I,0.0656071429,{,V,0.1799114776,12.8227500318,initialNoMorph,3,8,0.2250113826
159,dissatisfied,0.1406875,0.7060625,I,0.0375625,{,V,0.0781875,14.1630521377,prefix,4,10,0.228125
175,dissatisfied,0.1426787037,0.8419273389,I,0.0436931507,{,V,0.1263190265,11.8775095397,prefix,4,10,0.2515794801
176,dissatisfied,0.1511651348,0.6455950312,I,0.0326594188,{,V,0.1019235417,13.9406277382,prefix,4,9,0.2534231562
215,disasters,0.11875,0.6298125,d,0.0525625,{,V,0.188875,12.702193113,initialNoMorph,3,8,0.1713125
246,dissatisfied,0.1947833333,0.8615625,@,0.047942623,{,V,0.1266409569,10.4461371055,prefix,3,9,0.3048458333
248,disaster,0.0898068182,0.794065566,I,0.0832872104,{,V,0.2163372642,10.0747348105,initialNoMorph,3,8,0.237325
254,disastrous,0.1108007329,0.8450604091,I,0.0531992671,{,V,0.1774912541,10.650126196,initialNoMorph,3,9,0.2279979091
256,disaster,0.0791495902,0.586875,@,0.0535361493,{,V,0.2174903846,11.9275825346,initialNoMorph,3,7,0.1518125
295,disaster,0.05871875,0.5068664628,I,0.06115625,{,V,0.16575,11.8374373532,initialNoMorph,3,6,0.1798546981
2,disciplinary,0.0901700476,0.7193054334,I,0.0927587984,@,V,0.0328200204,15.2925301116,initialNoMorph,5,11,0.2382828528
5,discipline,0.08555,0.6399056122,I,0.08915,@,V,0.023875,10.9391133099,initialNoMorph,3,7,0.205375
