ItemID	item	PartofSpeech	Base	PartofSpeechBase	WordFormFreq	BaseFormFreq	WordLemmaFreq	BaseLemmaFreq	Speaker	Pos	Affix	AffixOrth	MorphBound	Consonant	NoCons	AbsDurCon	WordDur	PrecSeg	PrecSegVC	PrecSegDur	FollSeg	FollSegVC	FollSegDur	LocSpeech	PreSuf	SyllPhon	SyllAct	NoSegWord	DeletionMorph	DeviantPronun	PauseMorph	BaseFormFreqAllCoca	WordFormFreqAllCoca	AffixStressLongman	AdjSyllStressLongman	AffixStress	AdjSyllStress	WordLemmaFreqAllCoca	BaseLemmaFreqAllCoca	al	SearchName
20	impression	n	pression	n	2282	0	2676	0	79	M	inLoc	im	o	m	1	0.0548225468	0.41	I	V	0.027319731	p	C	0.0938688212	17.0731707317	prefix	3	3	7	N	N	N	11	10916	u	p	d	p	13483	11	NA	imbp
33	impact	n	pact	n	7396	373	7523	394	32	M	inLoc	im	o	m	1	0.0718022055	0.5371602838	I	V	0.112885295	p	C	0.0572448557	9.3082086494	prefix	2	2	5	N	N	N	2786	44362	p	u	p	u	49070	3125	NA	imbp
49	imposed	v	posed	v	961	804	2547	2506	70	M	inLoc	im	o	m	1	0.094294011	0.9068865173	I	V	0.05084481	p	C	0.1007651686	7.7187165829	prefix	2	2	7	N	N	N	6019	7420	u	p	d	p	0	0	NA	imbp
51	implies	v	plies	v	260	4	1040	54	57	M	inLoc	im	o	m	1	0.0754182781	0.4	@	V	0.039351372	p	C	0.0758030653	17.5	prefix	2	2	7	N	N	N	121	4951	u	p	d	p	0	0	NA	imbp
64	imposing	v	posing	v	435	493	2547	2506	218	M	inLoc	im	o	m	1	0.0666194079	0.66858193	I	V	0.054268092	p	C	0.1809241723	11.9656240188	prefix	3	3	8	N	N	N	2270	3756	u	p	d	p	0	0	NA	imbp
68	imprisonment	n	prisonment	n	267	0	271	0	79	M	inLoc	im	y	m	1	0.0372281552	0.45	I	V	0.040374324	p	C	0.0813824787	22.2222222222	prefix	4	4	10	N	N	N	1	1577	u	p	d	p	1613	1	NA	imbp
71	impressed	v	pressed	v	1358	736	1451	3014	220	M	inLoc	im	o	m	1	0.0733	0.45	I	V	0.0600125	p	C	0.1016908261	13.3333333333	prefix	2	2	6	N	N	N	12162	8330	u	p	d	p	0	0	NA	imbp
86	impress	v	press	v	278	16457	1451	3014	224	M	inLoc	im	o	m	1	0.0380073491	0.439	I	V	0.074860921	p	C	0.1272748065	13.6674259681	prefix	2	2	6	N	N	N	66079	2455	u	p	d	p	10669	27728	NA	imbp
107	impressive	a	pressive	a	1097	0	1096	0	10	M	inLoc	im	o	m	1	0.0566214267	0.54	I	V	0.087928348	p	C	0.0929838108	14.8148148148	prefix	3	3	8	N	N	N	4	9918	u	p	d	p	9918	4	NA	imbp
124	import	v	port	v	447	1478	577	9	102	M	inLoc	im	o	m	1	0.0608333333	0.53525	I	V	0.090479167	p	C	0.1454039705	9.3414292387	prefix	2	2	5	N	N	N	12676	4038	u	p	d	p	4472	102	NA	imbp
144	implications	n	plications	n	1035	0	1464	0	248	M	inLoc	im	o	m	1	0.0214972398	0.6458028316	I	V	0.032993092	p	C	0.1085343571	13.9361420539	prefix	4	4	9	N	N	N	5	13441	s	u	s	u	0	5	NA	imbp
152	implemented	v	plemented	v	607	0	1722	0	249	M	inLoc	im	o	m	1	0.0270416667	0.522875	I	V	0.0956875	p	C	0.0775951782	21.0375328711	prefix	4	4	11	N	N	N	0	6833	p	u	p	u	0	0	NA	imbp
153	immigrants	n	migrants	n	2489	109	2953	264	250	E	inLoc	im	y	m	2	0.0425126001	0.5910003128	I	V	0.089583508	@	V	0.0621646206	13.5363718548	prefix	3	3	8	N	N	N	3028	16758	p	u	p	u	0	11	NA	imm
165	immigration	n	migration	n	4282	299	4307	329	255	P	inLoc	im	y	m	2	0.0696807665	0.709322943	I	V	0.035460443	@	V	0.0509675767	14.097950869	prefix	4	4	10	N	N	N	5945	16576	s	u	s	u	16659	6640	NA	imm
166	immigrate	v	migrate	v	23	80	90	213	256	M	inLoc	im	y	m	2	0.0528637574	0.3361516305	I	V	0.023214131	@	V	0.0394507808	20.8239358808	prefix	3	3	7	N	N	N	1247	193	p	u	p	u	860	3414	NA	imm
167	immigrant	n	migrant	n	942	155	2953	264	257	M	inLoc	im	y	m	2	0.0506931256	0.37	I	V	0.054756944	@	V	0.0733211883	21.6216216216	prefix	3	3	8	N	N	N	2264	8329	p	u	p	u	19346	5292	NA	imm
168	immigrants	n	migrants	n	2489	109	2953	264	258	M	inLoc	im	y	m	2	0.0868746939	0.37	@	V	0.0328125	@	V	0.0743889726	24.3243243243	prefix	3	3	9	N	N	N	3028	16758	p	u	p	u	0	11	NA	imm
174	impacted	v	pacted	v	359	0	745	0	262	M	inLoc	im	o	m	1	0.0498876713	0.55	I	V	0.06432743	p	C	0.0698388647	14.5454545455	prefix	3	3	8	N	N	N	23	1432	u	p	d	p	0	5	NA	imbp
180	impressions	n	pressions	n	396	0	2676	0	77	E	inLoc	im	o	m	1	0.075375	0.6849743468	I	V	0.0514375	b	C	0.0427073102	11.6792695049	prefix	3	3	8	N	N	N	0	2565	u	p	d	p	1	0	NA	imbp
197	importers	n	porters	n	25	24	46	655	266	P	inLoc	im	o	m	1	0.05875	0.9376875	I	V	0.071	p	C	0.159981949	9.5980803839	prefix	3	3	9	N	N	N	548	457	u	p	d	p	0	5	NA	imbp
215	imply	v	ply	v	297	26	1040	54	273	M	inLoc	im	o	m	1	0.0602720702	0.7113541667	I	V	0.104436263	p	C	0.2015370954	7.0288475619	prefix	2	2	5	N	N	N	448	3348	u	p	d	p	12621	942	NA	imbp
217	implementing	v	plementing	v	318	0	1722	0	13	M	inLoc	im	o	m	1	0.0558928406	0.6	I	V	0.076919659	p	C	0.1068721168	15	prefix	4	4	9	N	N	N	0	4284	p	u	p	u	0	0	NA	imbp
250	immigration	n	migration	n	4282	299	4307	329	281	M	inLoc	im	y	m	2	0.070557598	0.54340375	I	V	0.02327875	@	V	0.042629902	16.5622706873	prefix	4	4	9	N	N	N	5945	16576	s	u	s	u	16659	6640	NA	imm
251	immigrant	n	migrant	n	942	155	2953	264	282	M	inLoc	im	y	m	2	0.0574303295	0.4177934322	I	V	0.082583594	@	V	0.0575053075	16.7546913389	prefix	3	3	7	N	N	N	2264	8329	p	u	p	u	19346	5292	NA	imm
260	immigrant	n	migrant	n	942	155	2953	264	285	M	inLoc	im	y	m	2	0.0489719697	0.293625	I	V	0.058791667	@	V	0.0435237648	20.4342273308	prefix	3	3	6	N	N	N	2264	8329	p	u	p	u	19346	5292	NA	imm
264	imports	n	ports	n	451	483	647	1958	78	E	inLoc	im	o	m	1	0.0803089789	0.610375	I	V	0.088503521	p	C	0.0433125	9.8300225271	prefix	2	2	6	N	N	N	3345	4613	p	u	p	u	31	0	NA	imbp
282	implant	v	plant	v	311	4051	279	1417	65	M	inLoc	im	y	m	1	0.0757215116	0.534625	I	V	0.027236822	p	C	0.1068860544	13.093289689	prefix	2	2	7	N	N	N	38277	1986	u	p	d	p	1575	14711	NA	imbp
289	impose	v	pose	v	1199	1017	2547	2506	294	M	inLoc	im	o	m	1	0.0454824561	0.5934545922	I	V	0.084648954	p	C	0.164326087	8.4252444344	prefix	2	2	5	N	N	N	7215	5659	u	p	d	p	15736	16521	NA	imbp
316	immigrants	n	migrants	n	2489	109	2953	264	299	M	inLoc	im	y	m	2	0.0778727931	0.53545	I	V	0.099921591	@	V	0.0419760241	14.9407040807	prefix	3	3	8	N	N	N	3028	16758	p	u	p	u	0	11	NA	imm
320	immigration	n	migration	n	4282	299	4307	329	300	M	inLoc	im	y	m	2	0.0810649895	0.7067013575	I	V	0.125175214	@	V	0.042953066	12.7352238749	prefix	4	4	9	N	N	N	5945	16576	s	u	s	u	16659	6640	NA	imm
328	implement	v	plement	v	822	0	1722	0	77	M	inLoc	im	o	m	1	0.0450555556	0.3479592958	I	V	0.061728535	l	C	0.08125	20.1172955686	prefix	3	3	7	N	N	N	4	6920	p	u	p	u	17862	0	NA	imbp
333	impulse	n	pulse	n	290	526	431	7095	28	P	inLoc	im	o	m	1	0.0525625	0.369	I	V	0.0856875	p	C	0.0806	16.2601626016	prefix	2	2	6	N	N	N	5525	3975	p	u	p	u	5648	31671	NA	imbp
339	immaculate	a	maculate	a	49	0	49	0	306	M	inLoc	im	y	m	2	0.0634600465	0.5163637062	I	V	0.038574184	{	V	0.1486471504	15.4929556499	prefix	4	4	8	N	N	N	4	1027	u	p	d	p	1027	0	NA	imm
361	immigration	n	migration	n	4282	299	4307	329	310	E	inLoc	im	y	m	2	0.04674375	0.955875	I	V	0.1267875	@	V	0.057036373	9.415457042	prefix	4	4	9	N	N	N	5945	16576	s	u	s	u	16659	6640	NA	imm
367	imported	a	ported	a	334	7	156	0	108	E	inLoc	im	o	m	1	0.0585659091	0.4799375	I	V	0.075096591	p	C	0.1002092105	14.5852324521	prefix	3	3	7	N	N	N	98	4553	u	p	d	p	2457	30	NA	imbp
377	impresses	v	presses	v	22	156	1451	3014	37	M	inLoc	im	o	m	1	0.0277572464	0.4784439273	I	V	0.058520014	p	C	0.1268181818	12.540654521	prefix	3	3	6	N	N	N	2841	279	u	p	d	p	0	0	NA	imbp
388	implementation	n	plementation	n	411	0	411	0	316	M	inLoc	im	o	m	1	0.0201964286	0.765915625	I	V	0.044881696	p	C	0.085875	16.9731489679	prefix	5	5	13	N	N	N	0	10405	p	u	p	u	10717	0	NA	imbp
391	implied	v	plied	v	310	15	1040	54	38	M	inLoc	im	o	m	1	0.0633773104	0.6152256098	I	V	0.058219388	p	C	0.1440944251	8.1270999138	prefix	2	2	5	N	N	N	268	3834	u	p	d	p	0	0	NA	imbp
395	immigration	n	migration	n	4282	299	4307	329	320	M	inLoc	im	y	m	2	0.0543677083	0.6135	I	V	0.077015625	@	V	0.0866166667	14.6699266504	prefix	4	4	9	N	N	N	5945	16576	s	u	s	u	16659	6640	NA	imm
396	imminent	a	minent	a	690	0	688	0	321	M	inLoc	im	o	m	2	0.059004386	0.3586875	I	V	0.058841667	I	V	0.0343471292	16.7276529012	prefix	3	3	6	N	N	N	1	3132	p	u	p	u	3132	1	NA	imm
414	impulsive	a	pulsive	a	120	1	120	0	326	M	inLoc	im	o	m	1	0.0558	0.5179125	I	V	0.0608875	p	C	0.1084204545	15.4466246712	prefix	3	3	8	N	N	N	2	940	u	p	d	p	940	31671	NA	imbp
