,Item,median
25,imbalance,1
44,imbibe,4
62,immaculate,4
94,immature,1
128,immense,4
146,immensely,4
157,immigrant,2
202,immigrate,2
213,immigrated,2
238,immobilized,1
280,immorality,1
305,immortal,1
329,immune,4
363,immunization,4
380,immunizations,4
401,impact,4
432,impair,4
457,impairing,4
492,impairment,4
519,impaneling,3
544,impart,3
551,impartial,1
595,impatiens,4
613,impetus,4
644,implant,2
668,implemented,4
680,implicit,4
717,implying,4
736,impolite,1
756,importance,4
797,important,4
832,imported,3
843,importer,3
860,impose,4
890,imposed,3
931,imposes,3
938,imposition,3
981,impossibility,1
1004,impossible,1
1018,impoverished,3
1053,impractical,1
1080,impregnated,3
1114,impressed,3
1143,impression,4
1157,impressionable,3
1176,imprint,3
1222,imprisonment,2
1236,improved,3
1260,improvement,4
1289,improvements,4
1323,improvising,4
1338,impugned,4
1360,impulsive,4
1385,impunity,3
1418,unable,1
1434,unacceptable,1
1461,unaccepted,1
1488,unaffordable,1
1525,unair-conditioned,1
1545,unanimous,4
1578,unannounced,1
1593,unarmed,1
1623,unattended,1
1657,unavailable,1
1669,unbelievably,1
1703,uncle,4
1729,uncontrollable,1
1743,uncontrolled,1
1776,undone,1
1796,unelectable,1
1832,unemployed,1
1847,unending,1
1894,unequal,1
1903,unethical,1
1940,uneven,1
1955,unevenly,1
1991,unexpected,1
2016,unexpectedly,1
2047,unfit,1
2073,unfortunate,1
2095,unhealthy,1
2118,unheard,1
2137,unimaginable,1
2182,unimportant,1
2203,unimpressive,1
2227,unincorporated,1
2242,uninfluenced,1
2278,uninformed,1
2290,uninhabitable,1
2322,uninsurable,1
2364,uninsured,1
2374,unintentional,1
2400,uninteresting,1
2425,unique,4
2470,university,4
2488,Unix,4
2519,unkind,1
2538,unlikely,1
2573,unmarried,1
2586,unnatural,1
2602,unnecessarily,1
2638,unnerved,1
2673,unnerving,1
2685,unopened,1
2722,unorganized,1
2734,unplugged,1
2767,unpredictable,1
2791,unquestionably,1
2817,unscrewing,1
2835,unused,1
2883,unusual,1
2896,unusually,1
2925,unwarranted,1
