	Item	median
2	immaterial	1
58	immediacy	3
78	immediate	3
107	immediately	3
145	immemorial	1
164	immigrants	2
214	immigration	2
252	immoral	1
260	impacted	3
313	impaired	2
347	Impala	4
378	impaneled	2
391	imparted	2
439	imparting	2
452	impatient	1
491	impeachment	3
516	impeccable	3
552	impede	3
606	impediment	3
610	impelled	3
664	imperative	3
677	imperfect	1
734	imperfections	1
751	Imperial	4
773	imperialism	4
821	impersonal	1
839	impersonation	2
877	implement	4
903	implementation	3
933	implementing	4
980	implication	4
1006	implications	4
1028	implied	4
1080	implies	4
1102	imply	4
1129	import	3
1154	importantly	4
1198	importers	3
1239	importing	3
1252	imports	2
1311	imposing	2
1323	impotence	1
1349	impress	3
1408	impresses	3
1439	impressions	3
1441	impressive	3
1474	imprinted	1
1522	imprisoned	1
1542	improper	1
1578	improperly	1
1622	improve	3
1657	improves	2
1688	improving	3
1725	improvise	3
1735	impulse	3
1761	unacademically	1
1819	unaccustomed	1
1846	unanswered	1
1888	unauthorized	1
1902	unbiased	1
1939	unbolted	1
1956	unconventional	1
2014	uncourteous	1
2019	undecided	1
2049	undefeated	1
2089	under	4
2132	undeserving	1
2147	undevoted	1
2206	undisciplined	1
2209	unduly	1
2249	uneasy	1
2295	uneducated	1
2310	unemployment	1
2360	unevenness	1
2383	unfairness	1
2416	unfamiliar	1
2463	unfortunately	1
2468	unfreeze	1
2521	unfriendly	1
2552	uninspiring	1
2569	unintentionally	1
2599	union	4
2645	unit	4
2688	united	4
2710	universe	4
2724	unknown	1
2753	unless	3
2805	unlicensed	1
2841	unloaded	1
2849	unnecessary	1
2884	unoccupied	1
2920	unofficially	1
2969	unorthodox	1
2981	unpopular	1
3011	unpopularity	1
3044	unproductive	1
3093	unread	1
3109	unregulated	1
3151	unreliable	1
3170	unsatisfactory	1
3213	unstitched	1
3236	unsuitable	1
3279	untalented	1
3312	unthinkable	1
3347	until	4
3392	unto	2
3398	untouchable	1
3443	Untouchables	1
3458	untrained	1
3516	unusable	1
3521	unwind	1
