"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","Environment2","syllabicity","Environment","Environment4","TypeOfL","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical"
"18",4660,"aerobically","participant_10A_Experiment_2",7,"participant_10_A_108.TextGrid","N","N","Unaccented","Mandy",108,0.746718820861678,4,8,0.0604470070856622,"k","C",0.119425459072518,"i","V",0.11068611282897,0.0460087954373667,0,6.61199999999985,"NoGlottalStop",0,10.7135373804672,0.171133119914632,0.575585700947046,0.109791252899627,0.746718820861678,0.171133119914632,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",2,690.83,785.84,25,"female","British English","no","Surrey. England","None","no","English Language & Linguistics - Second Year","Anglia Ruskin University","Yes - one year","Yes","Yes","Yes","Yes","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.171133119914632,"yes","L","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","tap",60.4470070856622,"Pause","No Pause",1.66364186327892,"MidFreq"
"19",4661,"aerobically","participant_3B_Experiment_2",2661,"participant_3_B_319.TextGrid","N","N","Unaccented","Mandy",319,0.616501457725947,4,8,0.0361468154513265,"k","C",0.0933684807256239,"i","V",0.12154322882035,0,0,4.06400000000008,"NoGlottalStop",0,12.9764494467039,0.157690044271676,0.458811413454271,0.0687796330653474,0.616501457725947,0.157690044271676,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",3,764.26,1073.05,65,"male","British English","no","Aberdeen. Scotland","French. basic","yes. Scottish higher (roughly equivalent to A-level)","Chemistry. PhD  completed","Aberdeen University","no","no","no","no","no","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.2510585249973,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",36.1468154513265,"No Pause","No Pause",2.70669291338577,"MidFreq"
"20",4662,"aerobically","participant_6B_Experiment_2",3774,"participant_6_B_115.TextGrid","N","N","Accented","Mandy",115,0.736131757966344,4,8,0.04477143823277,"k","C",0.131685179502044,"i","V",0.0891100767792494,0,0,7.91999999999996,"NoGlottalStop",0,10.8676197072396,0.133881515012019,0.602250242954325,0.105540249433106,0.736131757966344,0.133881515012019,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",3,680.66,792.64,33,"male","British English","no","England. South East","None","no","Fine Art. Second Year","Anglia Ruskin","no","no","no","no","no","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.133881515012019,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",44.77143823277,"No Pause","No Pause",1.3888888888889,"MidFreq"
"21",4663,"aerobically","participant_4A_Experiment_2",2808,"participant_4_A_236.TextGrid","N","N","Accented","Sonia",236,0.875657064716108,4,8,0.0481179138321997,"k","C",0.154182256235828,"i","V",0.185257329122125,0,0.164271676924738,4.42000000000007,"NoGlottalStop",0,9.13599663881389,0.233375242954325,0.642281821761784,0.107141431028376,0.875657064716108,0.233375242954325,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",3,871.8,996.91,19,"female","British English","no","Wells-next-the-sea. Norfolk. UK","None","no","2nd Year Meida Studies","Anglia Ruskin University ","no","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.387557499190152,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",48.1179138321997,"No Pause","Pause",1.35746606334839,"MidFreq"
"22",4664,"aerobically","participant_6A_Experiment_2",3630,"participant_6_A_212.TextGrid","N","N","Accented","Simon",212,0.921337380247154,4,8,0.0251768270433823,"k","C",0.147911203128595,"i","V",0.286832803658631,0.297195547309833,0.842080815313898,7.26800000000003,"NoGlottalStop",0,8.6830298775612,0.312009630702013,0.609327749545141,0.0705537207743636,0.921337380247154,0.312009630702013,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",1,629.12,784.73,20,"male","British English","no","Birmingham. UK","Japanese - medium proficient. Dutch - basic. German - medium proficient","no","Abnormal and Clinical Psychology - Year 2","Anglia Ruskin University","no","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.459920833830608,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",25.1768270433823,"Pause","Pause",0.82553659878921,"MidFreq"
"23",4665,"aerobically","participant_8A_Experiment_2",4560,"participant_8_A_41.TextGrid","N","N","Accented","Sonia",41,0.723121442454533,4,8,0.0446711861756197,"k","C",0.123716099773243,"i","V",0.086479494096489,0.0418870609468278,0.051278344671202,4.04400000000001,"NoGlottalStop",0,11.0631486363413,0.131150680272109,0.591970762182424,0.133512804313286,0.723121442454533,0.131150680272109,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",3,834.92,1022.03,21,"male","British English","no","London. then Oxfordshire","French (proficient). Arabic (proficient). Farsi (medium proficient)","Yes. I studied Latin for 8 years. proficient.","Middle Eastern Studies. 4th year","University of Cambridge","no","I went to a few lectures on phonetics in my first year of university.","The above lecture also covered phonology.","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.131150680272109,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",44.6711861756197,"Pause","Pause",1.48367952522255,"MidFreq"
"24",4666,"aerobically","participant_12A_Experiment_2",839,"participant_12_A_100.TextGrid","N","N","Unaccented","Viktoria",100,0.80302947845805,4,8,0.0842566893424037,"k","C",0.126960997732426,"i","V",0.148895691609977,0.332737297388091,0.247199546485261,3.84400000000005,"NoGlottalStop",0,9.962274380464,0.233152380952381,0.569877097505669,0.0834312875333283,0.80302947845805,0.233152380952381,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",1,972.92,1298.44,31,"male","British English","no","Cambridge. UK","Japanese (basic/functional). French (GCSE). German (GCSE)","Yes. I did Latin GCSE. (That was for three years at secondary school.)","I studied Pure Mathematics.","I studied at Warwick.","Yes. I did a CELTA English-teaching qualification. which has a large component on phonetics. etc. I continue to build on that as I teach EFL.","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.360113378684807,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",84.2566893424037,"Pause","Pause",1.56087408949009,"MidFreq"
"25",4667,"aerobically","participant_2B_Experiment_2",2118,"participant_2_B_142.TextGrid","N","N","Accented","Viktoria",142,0.673338300399525,4,9,0.0365862009131708,"k","C",0.119359750711694,"i","V",0.0838830308712537,0,0.0125591188856493,4.68000000000006,"NoGlottalStop",0,13.3662380331846,0.120469231784424,0.5528690686151,0.128612771918145,0.673338300399525,0.120469231784424,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",2,651.89,768.76,20,"female","British English","no","England","Japanese. basic.  French. basic","no","English Language and Linguistics. 2nd year","Anglia Ruskin","2 years","Yes","Yes","Yes","Yes","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.120469231784424,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",36.5862009131708,"No Pause","Pause",2.35042735042732,"MidFreq"
"26",4668,"aerobically","participant_7A_Experiment_2",4066,"participant_7_A_238.TextGrid","N","N","Accented","Mandy",238,0.592473433817971,4,8,0.0183459939531367,"k","C",0.0961211892164275,"i","V",0.105316137566137,0,0.0415717866093805,3.79847280758247,"NoGlottalStop",0,13.5027151317942,0.123662131519274,0.468811302298697,0.120333958144661,0.592473433817971,0.123662131519274,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",4,622.76,704.26,23,"male","British English","no","Oxford. England","None","no","Life Sciences. Year 3","Anglia Ruskin University","no","no","no","no","no","accented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.123662131519274,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",18.3459939531367,"No Pause","Pause",1.57958219103816,"MidFreq"
"27",4669,"aerobically","participant_12B_Experiment_2",1082,"participant_12_B_154.TextGrid","N","N","Unknown","Mandy",154,0.555085411942555,5,9,0.0525781206226839,"k","C",0.0673215777539089,"i","V",0.0661585026816089,0.0408002015621061,0.0313550133631302,4.6239999999998,"NoGlottalStop",0,16.2137209992674,0.118736623304293,0.436348788638262,0.0609078434792723,0.555085411942555,0.118736623304293,"ly",32,86,NA,"aerobical",32,1,NA,"unstressed",NA,"transparent","word",1,770.28,931.2,20,"male","British English","no","Coventry. West Midlands. England.","Japanese - Basic (<N5).","no","English Language and English Language Teaching - Year 2","Anglia Ruskin University","Yes - 1 Year. still in progress.","Yes.","Yes.","Yes.","Yes.","unaccented","Experiment_2",3.46573590279973,0,3.46573590279973,32,3.46573590279973,"aerobical","unstressed","al",0.118736623304293,"yes","l","ll",2,"word","Vl#l","yes","syll. l#l","syllabic Vl#l-al","approximant",52.5781206226839,"Pause","Pause",2.37889273356412,"MidFreq"
