"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","Environment2","StressPattern"
"1",5000,"disabled","participant_2B_Experiment_2",2245,"participant_2_B_323.TextGrid","N","N","Accented","Sonia",323,0.455755184908958,3,7,0.0887016412213204,"I","V",0.0455489662906357,"eI","V",0.135142874321446,0.054842392830148,0,3.5920000000001,"NoGlottalStop",0,15.3591231252768,0.134250607511956,0.301702679779922,0.154052505129036,0.455755184908958,0.134250607511956,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",2,651.89,768.76,20,"female","British English","no","England","Japanese. basic.  French. basic","no","English Language and Linguistics. 2nd year","Anglia Ruskin","2 years","Yes","Yes","Yes","Yes","unaccented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.166559805458477,"no","s","s",1,"word",88.7016412213204,"pause","no pause",2.50556792873044,"HighFreq","s#V-stressed","unstressed-primary"
"2",5001,"disabled","participant_6B_Experiment_2",3955,"participant_6_B_72.TextGrid","N","N","Unaccented","Viktoria",72,0.537727549874907,3,7,0.0990137460669018,"I","V",0.0325703914640791,"eI","V",0.148572043804602,0.0759410089691648,0,7.23200000000008,"NoGlottalStop",0,13.0177447698717,0.131584137530981,0.377868187015754,0.159859362859153,0.537727549874907,0.131584137530981,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,680.66,792.64,33,"male","British English","no","England. South East","None","no","Fine Art. Second Year","Anglia Ruskin","no","no","no","no","no","unaccented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.229296143211152,"no","s","s",1,"word",99.0137460669018,"pause","no pause",1.24446902654866,"HighFreq","s#V-stressed","unstressed-primary"
"3",5002,"disabled","participant_10A_Experiment_2",152,"participant_10_A_316.TextGrid","N","N","Unaccented","Viktoria",316,0.655810235680352,3,7,0.129926513086626,"I","V",0.0473251877407432,"eI","V",0.158302698627542,0.0972384240820605,0,4.66800000000012,"NoGlottalStop",0,10.6738193751094,0.177251700827369,0.467566294981875,0.188243940698477,0.655810235680352,0.177251700827369,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",2,690.83,785.84,25,"female","British English","no","Surrey. England","None","no","English Language & Linguistics - Second Year","Anglia Ruskin University","Yes - one year","Yes","Yes","Yes","Yes","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.309263596354333,"no","s","s",1,"word",129.926513086626,"pause","no pause",0.856898029134511,"HighFreq","s#V-stressed","unstressed-primary"
"4",5003,"disabled","participant_13A_Experiment_2",1296,"participant_13_A_155.TextGrid","N","N","Accented","Sonia",155,0.624961187691451,3,8,0.104962453239383,"I","V",0.0710661484266892,"eI","V",0.168676224888294,0,0,4.12800000000004,"NoGlottalStop",0,12.8007949254437,0.176028601666072,0.429712649150739,0.195248538540712,0.624961187691451,0.176028601666072,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,752.18,872.99,19,"male","British English","no","South Devon","French proficient and Spanish medium proficient","no","Linguistics 1st year","University of Cambridge","Yes. for around 4 weeks","Yes","Yes","no","no","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.261036424262445,"no","s","s",1,"word",104.962453239383,"no pause","no pause",0.968992248062006,"HighFreq","s#V-stressed","unstressed-primary"
"5",5004,"disabled","participant_9A_Experiment_2",4898,"participant_9_A_224.TextGrid","N","N","Accented","Viktoria",224,0.754662293488825,3,7,0.0928265631286656,"I","V",0.0743897719873097,"aI","V",0.176322686741591,0.0813462194913803,0.336928409459022,4.39599999999996,"NoGlottalStop",0,9.27567212565876,0.167216335115975,0.569315295040322,0.185346998448503,0.754662293488825,0.167216335115975,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,677.58,776.81,20,"female","British English ","no","Maidenhead. Berksire. Uk","None ","no","English Langaueg and Linguistics - Year 2","Anglia Ruskin ","Yes two years ","Yes ","Yes","Yes","Yes","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.392992608298731,"no","s","s",1,"word",92.8265631286656,"pause","pause",0.909918107370345,"HighFreq","s#V-stressed","unstressed-primary"
"6",5005,"disabled","participant_5B_Experiment_2",3347,"participant_5_B_103.TextGrid","N","N","Accented","Viktoria",103,0.472725268950807,3,7,0.0904792300796289,"I","V",0.0434856840513984,"eI","V",0.110444436910976,0.0447470871817561,0,4.81600000000003,"NoGlottalStop",0,14.8077550741812,0.133964914131027,0.30756326487269,0.165162004078117,0.472725268950807,0.133964914131027,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,868.83,1043.44,20,"male","British English","no","Leeds","None","I know a few words and phrases. I have never studied it","English Language and English Language Teaching. 2nd year","Anglia Ruskin University","Yes. 1 year","Yes","Yes","Yes","Yes","unaccented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.197118827961713,"no","s","s",1,"word",90.4792300796289,"pause","no pause",1.86877076411959,"HighFreq","s#V-stressed","unstressed-primary"
"7",5006,"disabled","participant_12A_Experiment_2",1045,"participant_12_A_99.TextGrid","N","N","Accented","Mandy",99,0.723944623463421,3,7,0.116829544406308,"I","V",0.0721454076107375,"eI","V",0.168502193227018,0.128464329321472,0.179973743883518,5.00800000000004,"NoGlottalStop",0,9.66924785836702,0.188974952017045,0.515178109207445,0.208766514255976,0.723944623463421,0.188974952017045,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",2,972.92,1298.44,31,"male","British English","no","Cambridge. UK","Japanese (basic/functional). French (GCSE). German (GCSE)","Yes. I did Latin GCSE. (That was for three years at secondary school.)","I studied Pure Mathematics.","I studied at Warwick.","Yes. I did a CELTA English-teaching qualification. which has a large component on phonetics. etc. I continue to build on that as I teach EFL.","no","no","no","no","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.346675915980427,"no","s","s",1,"word",116.829544406308,"pause","pause",0.798722044728428,"HighFreq","s#V-stressed","unstressed-primary"
"8",5007,"disabled","participant_2A_Experiment_2",1892,"participant_2_A_116.TextGrid","N","N","Unaccented","Sonia",116,0.591990940072868,3,8,0.109964078773455,"I","V",0.0378675040048591,"eI","V",0.141644359583967,0.0549740790577526,0,2.9079999999999,"NoGlottalStop",0,13.5137203265565,0.147831582778314,0.404274176635803,0.187716763437064,0.591990940072868,0.147831582778314,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",2,751.58,838.84,21,"male","British English","no","Nantwich. Cheshire","None","no","Foundation Gaming Technology BS/c 1st Year","Anglia Ruskin University","Yes 1 Year","no","no","no","no","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.262629817051837,"no","s","s",1,"word",109.964078773455,"pause","no pause",1.37551581843196,"HighFreq","s#V-stressed","unstressed-primary"
"9",5008,"disabled","participant_8A_Experiment_2",4531,"participant_8_A_301.TextGrid","N","N","Accented","Sonia",301,0.479624332164015,3,7,0.0929173394527394,"I","V",0.0485453674938384,"eI","V",0.125616588835119,0.0308036525496842,0,3.14800000000014,"NoGlottalStop",0,14.5947557923443,0.141462706946578,0.307291196599953,0.172333135564062,0.479624332164015,0.141462706946578,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",3,834.92,1022.03,21,"male","British English","no","London. then Oxfordshire","French (proficient). Arabic (proficient). Farsi (medium proficient)","Yes. I studied Latin for 8 years. proficient.","Middle Eastern Studies. 4th year","University of Cambridge","no","I went to a few lectures on phonetics in my first year of university.","The above lecture also covered phonology.","no","no","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.181674607764833,"no","s","s",1,"word",92.9173394527394,"pause","no pause",1.2706480304955,"HighFreq","s#V-stressed","unstressed-primary"
"10",5009,"disabled","participant_3B_Experiment_2",2677,"participant_3_B_34.TextGrid","N","N","Unaccented","Viktoria",34,0.565070861678005,3,7,0.0902221191506904,"I","V",0.0385028430564147,"eI","V",0.119749899959984,0.0559410430839002,0,4.672,"NoGlottalStop",0,12.3878268633657,0.128724962207105,0.401215986394558,0.163854875283447,0.565070861678005,0.128724962207105,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,764.26,1073.05,65,"male","British English","no","Aberdeen. Scotland","French. basic","yes. Scottish higher (roughly equivalent to A-level)","Chemistry. PhD  completed","Aberdeen University","no","no","no","no","no","unaccented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.281466086434574,"no","s","s",1,"word",90.2221191506904,"pause","no pause",1.9263698630137,"HighFreq","s#V-stressed","unstressed-primary"
"11",5010,"disabled","participant_5A_Experiment_2",3226,"participant_5_A_226.TextGrid","N","N","Unaccented","Mandy",226,0.569005819563013,3,7,0.145119403215832,"I","V",0.0559428038892325,"eI","V",0.149602690166976,0.0434528305637034,0,3.5,"NoGlottalStop",0,12.3021588871901,0.201062207105064,0.344733333333333,0.224272486229681,0.569005819563013,0.201062207105064,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,731.92,833.23,27,"male","British English","no","Taunton. Somerset. UK (South West)","None","no","Psychological and Behavioural Sciences (1st Year)","University of Cambridge","no","no","no","no","no","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.195130643166357,"no","s","s",1,"word",145.119403215832,"pause","no pause",1.14285714285714,"HighFreq","s#V-stressed","unstressed-primary"
"12",5011,"disabled","participant_10B_Experiment_2",371,"participant_10_B_324.TextGrid","N","N","Accented","Mandy",324,0.505653763977618,3,7,0.0973447837089647,"I","V",0.0449559492704765,"eI","V",0.119152351489068,0,0,3.92799999999988,"NoGlottalStop",0,13.8434646366241,0.142300732979441,0.31035225377629,0.195301510201328,0.505653763977618,0.142300732979441,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,627.46,777.21,19,"female","British English","no","North-West London","German (proficient). French (proficient). Spanish (basic/medium proficient)","no","MML (French and German)- Second Year","University of Cambridge","no","no","no","no","no","unaccented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.191199902287222,"no","s","s",1,"word",97.3447837089647,"no pause","no pause",2.29124236252553,"HighFreq","s#V-stressed","unstressed-primary"
"13",5012,"disabled","participant_4B_Experiment_2",3004,"participant_4_B_217.TextGrid","N","N","Accented","Viktoria",217,0.618887221555288,3,7,0.0890384898548164,"I","V",0.0509528239460211,"eI","V",0.213739973739974,0.0681141345427059,0,4.08799999999997,"NoGlottalStop",0,11.310622931281,0.139991313800838,0.450840255294036,0.168046966261252,0.618887221555288,0.139991313800838,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",2,508.88,607.82,19,"female","British English","no","North London","Basic French","Some - I studied it for GCSE","Natural Sciences (Biological). 2nd year","University of Cambridge","no","no","no","no","no","unaccented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.237100281554063,"no","s","s",1,"word",89.0384898548164,"pause","no pause",2.20156555772996,"HighFreq","s#V-stressed","unstressed-primary"
"14",5013,"disabled","participant_1A_Experiment_2",1641,"participant_1_A_45.TextGrid","N","N","Accented","Mandy",45,0.917423105994534,3,7,0.147025646658443,"I","V",0.0696255835508106,"eI","V",0.205589806643378,0.126341647770219,0.491754898540613,7.19999999999993,"NoGlottalStop",0,7.63006725496807,0.216651230209254,0.675925894497323,0.241497211497212,0.917423105994534,0.216651230209254,"s#V","dis",3095,6368,812,"abled",3095,4,3,"unstressed","primary","transparent","word",1,698.32,820.71,25,"female","British English","no","England","Mandarin. basic ","no","MA Dramatherapy year 2","Anglia Ruskin","no","no","no","no","no","accented","Experiment_2",8.0375431851187,1.38629436111989,8.0375431851187,773.75,6.65124882399881,"able",NA,NA,0.470336087853945,"no","s","s",1,"word",147.025646658443,"pause","pause",0.555555555555561,"HighFreq","s#V-stressed","unstressed-primary"
