"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","StressPattern"
"1",1,"immaculate","Experiment_1_participant_12",442,"Participant_12_203.TextGrid","N","N","Unaccented","Mandy",117,0.7500578576,4,9,0.0869938084,"I","V",0.0507104088,"{","V",0.1543833783,0,0.1553919747,2.0307254724,"GlottalStop",0.0946792172,11.9990743493,0.2323834344,0.5176744232,0.2323834344,0.6553786404,0.1377042172,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",4,968.23,763.05,19,"female","British ","no","Kettering. Northamptonshire. England","Medium French. basic German and currently learning Spanish to a medium level","Slight knowledge- I study linguistics at uni and did English langueg and A-Level and we look at it in the history of language (basic level- studied for around 4 months) ","English Language and Linguistics (BA HONS) 2nd year","Anglia Ruskin University","Currently in my 2nd year of the course at university","Yes","Yes","Yes","Yes","accented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",86.9938084,"no pause","pause",1.96973941301511,"HighFreq","unstressed-primary"
"2",2,"immaculate","Experiment_1_participant_22",2149,"Participant_22_150.TextGrid","N","N","Unaccented","Yannick",58,0.5198727803,4,8,0.0958407245,"I","V",0.0751644929,"{","V",0.0783206735,0,0,2.3703100242,"NoGlottalStop",0,15.3883802027,0.1710052174,0.3488675629,0.1710052174,0.5198727803,0.1710052174,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",3,1236.11,1055.97,30,"Female","English","No","Cambridge UK","None","No","English Language teaching. 1st year","Anglia Ruskin Cambridge","No","currently Studying","currently Studying","currently Studying","currently Studying","unaccented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",95.8407245,"no pause","no pause",3.79697166535739,"HighFreq","unstressed-primary"
"3",3,"immaculate","Experiment_1_participant_29",3423,"Participant_29_163.TextGrid","N","N","Unaccented","Mandy",72,0.6547596363,4,9,0.0759915149,"I","V",0.0459074145,"{","V",0.1241583422,0,0,3.4578822574,"NoGlottalStop",0,13.745502168,0.1218989294,0.5328607069,0.1218989294,0.6547596363,0.1218989294,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",1,1220.52,1005.9,61,"Female","British","no","UK","French medium","no","not currently","Leicester","yes","yes","yes","yes","yes","unaccented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",75.9915149,"no pause","no pause",2.6027491192737,"HighFreq","unstressed-primary"
"4",4,"immaculate","Experiment_1_participant_25",2655,"Participant_25_100.TextGrid","N","N","Accented","Yannick",3,0.7741159263,4,9,0.1298907089,"I","V",0.0507012449,"{","V",0.1268135052,0,0.100813428,1.853717332,"NoGlottalStop",0,11.626165661,0.1805919539,0.5935239724,0.1805919539,0.7741159263,0.1805919539,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",1,828.11,684.54,39,"Male","British English","No","Bassingbourn. England UK","None","None","Chief Computing Technician","n/a","n/a","n/a","n/a","n/a","n/a","accented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",129.8907089,"no pause","pause",2.15782629365846,"HighFreq","unstressed-primary"
"5",5,"immaculate","Experiment_1_participant_14",918,"Participant_14_76.TextGrid","N","N","Unaccented","Mandy",293,0.5456596619,3,8,0.0839476403,"I","V",0.0642456431,"A","V",0.0642524136,0.3666679772,0,4.7935092662,"NoGlottalStop",0,14.6611533857,0.1481932834,0.3974663786,0.1481932834,0.5456596619,0.1481932834,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",2,1222.05,990.78,19,"Female","English","No","Maidenhead. Berskire. England","None","No","English Language and Linguistics Second Year","Anglia Ruskin University ","Yes for two years while at university ","Yes","Yes","Yes","Yes","unaccented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",83.9476403,"pause","no pause",1.87753887605075,"HighFreq","unstressed-primary"
"6",6,"immaculate","Experiment_1_participant_9",5437,"Participant_9_114.TextGrid","N","N","Unaccented","Yannick",18,0.633970249,4,9,0.089320779,"I","V",0.0510347979,"{","V",0.1296461307,0.0424494269,0.0610844032,2.9164934037,"NoGlottalStop",0,14.1962497686,0.1403555769,0.493614672,0.1403555769,0.633970249,0.1403555769,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",1,1013.95,871.53,19,"female","British English","no","England","French. basic","no","BA(Hons) first year","Anglia Ruskin University","Yes. 2 years","Yes","Yes","Yes","Yes","unaccented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",89.320779,"pause","pause",3.08589760175085,"HighFreq","unstressed-primary"
"7",7,"immaculate","Experiment_1_participant_2",3740,"Participant_2_81.TextGrid","N","N","Accented","Lara",299,0.766519323,4,9,0.0885715835,"I","V",0.0729131199,"{","V",0.1177585244,0.113942266,0.039225687,1.8748097758,"NoGlottalStop",0,11.7413869809,0.1614847034,0.6050346196,0.1614847034,0.766519323,0.1614847034,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",4,583.45,489.35,28,"Male","English","No","Essex","None","No","PhD Film Studies. 4th Year","Anglia Ruskin","Yes. A-Level","Not formally","No","No","Yes","accented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",88.5715835,"pause","pause",2.13354978816086,"HighFreq","unstressed-primary"
"8",8,"immaculate","Experiment_1_participant_18",1524,"Participant_18_156.TextGrid","N","N","Unaccented","Simon",64,0.5803899147,4,9,0.0917539118,"I","V",0.0304496465,"{","V",0.1233935694,0.0519346183,0.1151445658,3.9909108088,"NoGlottalStop",0,15.5068166626,0.1222035583,0.4581863563,0.1222035583,0.5803899147,0.1222035583,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",3,1053.82,889.01,21,"female","british","no","lincolnshire","german - medium. dutch - basic","yes - 5 years - basic","marine biology - 2","anglia ruskin","no","no","no","no","no","unaccented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",91.7539118,"pause","pause",2.25512431401747,"HighFreq","unstressed-primary"
"9",9,"immaculate","Experiment_1_participant_15",949,"Participant_15_127.TextGrid","N","N","Accented","Mandy",32,0.6828051141,4,9,0.0891952626,"i","V",0.0584382755,"A","V",0.1033434767,0.0722111431,0.1004726925,1.7410370169,"NoGlottalStop",0,13.1809206093,0.1476335382,0.5351715759,0.1476335382,0.6828051141,0.1476335382,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",4,905.94,743.31,57,"female","British English","No","South East England","French - proficient. Italian - proficient. German - medium proficient","No","MA in Translation. 3rd year","Bristol","No","No","No","No","No","accented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",89.1952626,"pause","pause",2.2974813063551,"HighFreq","unstressed-primary"
"10",10,"immaculate","Experiment_1_participant_5",4679,"Participant_5_105.TextGrid","N","N","Unaccented","Mandy",8,0.5019331576,4,8,0.0580367586,"I","V",0.0386308543,"{","V",0.1208664518,0,0,2.5154641557,"NoGlottalStop",0,15.9383772084,0.0966676128,0.4052655448,0.0966676128,0.5019331576,0.0966676128,"m#mV","Neg",467,1026,49,"maculate",467,1,4,"unstressed","primary","transparent","word",2,679.63,564.35,20,"Male","British English","No","Nantwich","None","A couple of phrases","Computer Gaming Technology Extended course. First Year","Anglia Ruskin","No","No","No","No","No","unaccented","Experiment_1",6.1463292576689,0,6.1463292576689,467,6.1463292576689,NA,NA,NA,NA,NA,NA,"mm",3,"word",58.0367586,"no pause","no pause",3.57786851369206,"HighFreq","unstressed-primary"
