"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","RatingCategorical"
"1",1184,"inact","Experiment_1_participant_28",3201,"Participant_28_107.TextGrid","N","N","Unaccented","Lara",10,0.4183158112,2,6,0.0516932501,"I","V",0.0561290874,"{","V",0.1084783209,0,0,2.9059669946,"GlottalStop",0.0558041836,14.3432302575,0.163626521,0.2546892901,0.163626521,0.3625116276,0.1078223374,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",2,757.61,650.42,19,"Female","British English","No","Kent. England","Brazilian Portuguese. basic","No","Psychological and Behavioural Sciences. First Year","University of Cambridge","No","No","No","No","No","unaccented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","No Pause","No Pause",3.09707578121989,"LowFreq","simply_decomposed"
"2",1185,"inact","Experiment_1_participant_32",4144,"Participant_32_134.TextGrid","N","N","Accented","Mandy",40,0.76286412,2,5,0.0656459801,"I","V",0.0663160785,"{","V",0.1797512193,0.0866655869,0.250236787,2.0798355917,"NoGlottalStop",0,6.5542471705,0.1319620586,0.6309020614,0.1319620586,0.76286412,0.1319620586,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",2,609.81,528.25,18,"Female","British English","No","North London","Basic French","Yes I did Latin GCSE","Natural Sciences (Biological). 1st year","Cambridge","No","No","No","No","No","accented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","Pause","Pause",1.92322893980793,"LowFreq","simply_decomposed"
"3",1186,"inact","Experiment_1_participant_3",4340,"Participant_3_152.TextGrid","N","N","Unaccented","Yannick",60,0.3291219725,2,5,0.0568055234,"I","V",0.0448629511,"{","V",0.1065010008,0,0,2.2097313401,"NoGlottalStop",0,15.1919361757,0.1016684745,0.227453498,0.1016684745,0.3291219725,0.1016684745,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",4,1315.26,1129.05,19,"male","British English","no","Norfolk","Japanese - basic","no","English Language and English Language Teaching (Year 2)","Anglia Ruskin University","yes. for 1 year (with university)","yes","yes","yes","yes","unaccented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","No Pause","No Pause",4.07289331362459,"LowFreq","difficultly_decomposed"
"4",1187,"inact","Experiment_1_participant_13",651,"Participant_13_24.TextGrid","N","N","Unaccented","Yannick",157,0.417757489,2,5,0.0439183501,"I","V",0.0378128668,"{","V",0.1296327217,0.6513952927,0,4.326055922,"NoGlottalStop",0,11.9686663486,0.0817312169,0.336026272,0.0817312169,0.417757489,0.0817312169,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",4,1011.46,825.5,35,"male","British","no","UK","none","yes. 2 years","law phd 5 year","ARU","no","No","No","No","No","unaccented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","Pause","No Pause",2.08041693456407,"LowFreq","difficultly_decomposed"
"5",1188,"inact","Experiment_1_participant_6",5011,"Participant_6_44.TextGrid","N","N","Accented","Viktoria",258,0.6167040492,2,5,0.0615180952,"I","V",0.1357688776,"3","V",0.2009748187,0,0.1689755426,1.7556235828,"NoGlottalStop",0,8.1076166212,0.1972869727,0.4194170765,0.1972869727,0.6167040492,0.1972869727,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",1,691.99,605.49,32,"Male","British English","No","England. Hertfordshire","Very Basic Spanish","No","BA Fine Art","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","No Pause","Pause",2.27839272563228,"LowFreq","simply_decomposed"
"6",1189,"inact","Experiment_1_participant_19",1773,"Participant_19_247.TextGrid","N","N","Accented","Lara",165,0.6027291347,2,5,0.0805581181,"I","V",0.0812379457,"{","V",0.1602774056,0.2018058957,0.3590180032,2.2434950869,"NoGlottalStop",0,8.295600316,0.1617960638,0.4409330709,0.1617960638,0.6027291347,0.1617960638,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",1,1680.43,1512.78,19,"male","British","Not bilingual","Brentwood. Essex","Can speak no other language","I know of latin but have never learnt or attempted to speak it","Film Year 1","Anglia Ruskin","NO","No","No","No","No","accented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","Pause","Pause",1.78293236448629,"LowFreq","simply_decomposed"
"7",1190,"inact","Experiment_1_participant_4",4506,"Participant_4_129.TextGrid","N","N","Accented","Viktoria",34,0.6019903113,2,5,0.0549589604,"I","V",0.1174956075,"{","V",0.1800181181,0,0,1.6492237779,"NoGlottalStop",0,8.3057815157,0.1724545679,0.4295357434,0.1724545679,0.6019903113,0.1724545679,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",4,827.78,687.64,29,"MALE","BRITISH","N/A","SPRATTON. NORTHAMPTONSHIRE","BASIC FRENCH AND GERMAN","KNOWLEDGE FROM BIOMEDICAL TERMS","BIOMEDICAL SCIENCE YEAR 2","ANGLIA RUSKIN","NO","NO","NO","NO","NO","accented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","No Pause","No Pause",2.42538341588387,"LowFreq","difficultly_decomposed"
"8",1191,"inact","Experiment_1_participant_20",2030,"Participant_20_68.TextGrid","N","N","Accented","Simon",284,0.720984437,2,5,0.0656694188,"I","V",0.1210300175,"{","V",0.1607953342,0.2471705826,0.5289775962,2.7650614135,"NoGlottalStop",0,6.9349624533,0.1866994363,0.5342850007,0.1866994363,0.720984437,0.1866994363,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",4,928.7,842.19,24,"female","British English ","no","West Sussex","Mandarin. Basic ","no","MA Dramatherapy year 1","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","Pause","Pause",1.44662248023519,"LowFreq","difficultly_decomposed"
"9",1192,"inact","Experiment_1_participant_29",3556,"Participant_29_85.TextGrid","N","N","Accented","Simon",303,0.4704865195,2,5,0.0501509319,"I","V",0.0781195052,"{","V",0.1313382468,0,0,2.9231311953,"NoGlottalStop",0,10.6272970495,0.1282704371,0.3422160824,0.1282704371,0.4704865195,0.1282704371,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",1,1220.52,1005.9,61,"Female","British","no","UK","French medium","no","not currently","Leicester","yes","yes","yes","yes","yes","unaccented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","No Pause","No Pause",3.07889020324192,"LowFreq","simply_decomposed"
"10",1193,"inact","Experiment_1_participant_26",2989,"Participant_26_7.TextGrid","N","N","Accented","Mandy",286,0.7703480292,2,5,0.0453443978,"I","V",0.0939875331,"{","V",0.1893795436,0,0.2043358922,2.0333796899,"GlottalStop",0.176825243,6.4905728458,0.3161571739,0.4541908553,0.3161571739,0.5935227861,0.1393319308,"n#V","Loc",2,0,0,"act",2,38099,2,"unstressed","primary","transparent","word",2,740.99,621.16,19,"Male","British English","No","Buckingham. England","None","No","Computer Gaming Technology. 2nd Year","Anglia Ruskin University","No","No","no","No","No","accented","Experiment_1",0.693147180559945,10.5479433140512,0.693147180559945,0.0000524948161369065,-9.85479613349124,NA,NA,NA,NA,NA,NA,"n",2,"word","No Pause","Pause",1.96716826663923,"LowFreq","simply_decomposed"
