"","X","Item","Participant","ID","Filename","DeletionMorph","DeviantPronun","Accentuation","Annotator","Order","WordDur","SyllNum","SegNum","ConsonantDur","PrecSeg","PrecSegVC","PrecSegDur","FollSeg","FollSegVC","FollSegDur","PrePauseDur","PostPauseDur","SentenceDur","GlottalStop","GlottalStopDur","LocSpeech","AffixDur","BaseDuration","FirstSyllDur","WordDurWithoutGlottalStop","AffixDurWithoutGlottalStop","Environment","Affix","WordFormFrequencyBNC","WordFormFrequencyAllCOCA","WordFormFrequencySpokenCOCA","Base","WordLemmaFrequencyBNC","BaseLemmaFrequencyBNC","SyllPhon","AffixStress","BaseInitialStress","SemanticTransparency","TypeOfRoot","Rating","TimeRating","TotalTime","Age","Sex","L1","Bilingual","Grow_Up_Region","Languages","Latin","Profession_Studies","University","Knowledge_English_Ling","Phonetics","Phonology","Morphology","Semantics","AccentuationCondition","Experiment","logWordFormFreq","logBaseLemmaFreq","logWordLemmaFreq","RelFreq","logRelFreq","Root","BaseFinalStress","SuffixAdjSuffix","LastSyllDur","InCorpus","Consonant","Orthography","median","TypeOfBase","ConsonantDurMS","PrePause","PostPause","GlobalSpeechRate","WordFreqCategorical","StressPattern"
"550",3432,"unable","Experiment_1_participant_14",820,"Participant_14_206.TextGrid","N","N","Unaccented","Viktoria",120,0.3810190915,3,5,0.0513776217,"V","V",0.0762193302,"a","V",0.1260775095,0.0909516251,0,4.1923717077,"NoGlottalStop",0,13.1227020153,0.127596952,0.2534221395,0.127596952,0.3810190915,0.127596952,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,1222.05,990.78,19,"Female","English","No","Maidenhead. Berskire. England","None","No","English Language and Linguistics Second Year","Anglia Ruskin University ","Yes for two years while at university ","Yes","Yes","Yes","Yes","unaccented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",51.3776217,"Pause","No Pause",2.14675621044527,"HighFreq","unstressed-primary"
"551",3433,"unable","Experiment_1_participant_11",194,"Participant_11_108.TextGrid","N","N","Unaccented","Yannick",11,0.4925022781,3,5,0.073848691,"O","V",0.0631303157,"eI","V",0.1712471655,0,0,3.5232955404,"NoGlottalStop",0,10.1522373037,0.1369790067,0.3555232715,0.1369790067,0.4925022781,0.1369790067,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,1004.83,804.63,19,"female","British English","I only know British English","Cuckfield. West Sussex. UK","I know a little weeny bit of spanish (did it for GCSE)","No knowledge of latin- always something I wish I was taught","I am currently studying English Language and English Language Teaching","Anglia Ruskin University","Not really. but did occur slightly in my English Language A-Level","As I have just started the course. I've had 2 lectures on it!","Just had 2 lectures on it!","Not as of yet.","Slightly. 2 lectures into it.","unaccented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",73.848691,"No Pause","No Pause",2.55442664312464,"HighFreq","unstressed-primary"
"552",3434,"unable","Experiment_1_participant_18",1548,"Participant_18_196.TextGrid","N","N","Unaccented","Simon",108,0.388108938,3,5,0.0574978004,"@","V",0.0449966185,"eI","V",0.1496590202,0,0,3.1212244898,"NoGlottalStop",0,12.8829808082,0.102494419,0.2856145191,0.102494419,0.388108938,0.102494419,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,1053.82,889.01,21,"female","british","no","lincolnshire","german - medium. dutch - basic","yes - 5 years - basic","marine biology - 2","anglia ruskin","no","no","no","no","no","unaccented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",57.4978004,"No Pause","No Pause",2.88348371910176,"HighFreq","unstressed-primary"
"553",3435,"unable","Experiment_1_participant_29",3554,"Participant_29_80.TextGrid","N","N","Accented","Simon",298,0.4198968254,3,6,0.0443142836,"V","V",0.0533290889,"eI","V",0.2117398475,0.1315338876,0,3.1686054422,"NoGlottalStop",0,14.2892244883,0.0976433725,0.3222534529,0.0976433725,0.4198968254,0.0976433725,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,1220.52,1005.9,61,"Female","British","no","UK","French medium","no","not currently","Leicester","yes","yes","yes","yes","yes","unaccented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",44.3142836,"Pause","No Pause",2.84036626338406,"HighFreq","unstressed-primary"
"554",3436,"unable","Experiment_1_participant_3",4323,"Participant_3_118.TextGrid","N","N","Unaccented","Yannick",22,0.3737874448,3,5,0.0537850582,"V","V",0.0564346764,"eI","V",0.1491534432,0,0,2.5939010688,"NoGlottalStop",0,13.3765862645,0.1102197347,0.2635677101,0.1102197347,0.3737874448,0.1102197347,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,1315.26,1129.05,19,"male","British English","no","Norfolk","Japanese - basic","no","English Language and English Language Teaching (Year 2)","Anglia Ruskin University","yes. for 1 year (with university)","yes","yes","yes","yes","unaccented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",53.7850582,"No Pause","No Pause",3.46967743228681,"HighFreq","unstressed-primary"
"555",3437,"unable","Experiment_1_participant_28",3332,"Participant_28_296.TextGrid","N","N","Unaccented","Viktoria",219,0.5050448914,3,5,0.0399511551,"V","V",0.1243109579,"eI","V",0.1922357197,0,0,3.2049668637,"NoGlottalStop",0,9.9001100407,0.164262113,0.3407827784,0.164262113,0.5050448914,0.164262113,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,757.61,650.42,19,"Female","British English","No","Kent. England","Brazilian Portuguese. basic","No","Psychological and Behavioural Sciences. First Year","University of Cambridge","No","No","No","No","No","unaccented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",39.9511551,"No Pause","No Pause",2.80814135769562,"HighFreq","unstressed-primary"
"556",3438,"unable","Experiment_1_participant_22",2230,"Participant_22_277.TextGrid","N","N","Accented","Lara",198,0.4088687697,3,5,0.0462647196,"V","V",0.0719559768,"EI","V",0.1519325851,0,0,1.2988302078,"NoGlottalStop",0,12.2288625842,0.1182206964,0.2906480733,0.1182206964,0.4088687697,0.1182206964,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",2,1236.11,1055.97,30,"Female","English","No","Cambridge UK","None","No","English Language teaching. 1st year","Anglia Ruskin Cambridge","No","currently Studying","currently Studying","currently Studying","currently Studying","accented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",46.2647196,"No Pause","No Pause",3.07969430952436,"HighFreq","unstressed-primary"
"557",3439,"unable","Experiment_1_participant_26",2967,"Participant_26_37.TextGrid","N","N","Accented","Mandy",250,0.6168094267,3,5,0.056595854,"A","V",0.1169932639,"eI","V",0.2226459538,0.0711442126,0.1843742189,2.0526252833,"NoGlottalStop",0,8.106231493,0.1735891178,0.4432203089,0.1735891178,0.6168094267,0.1735891178,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,740.99,621.16,19,"Male","British English","No","Buckingham. England","None","No","Computer Gaming Technology. 2nd Year","Anglia Ruskin University","No","No","no","No","No","accented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",56.595854,"Pause","Pause",1.94872392566909,"HighFreq","unstressed-primary"
"558",3440,"unable","Experiment_1_participant_5",4843,"Participant_5_78.TextGrid","N","N","Accented","Yannick",295,0.4389855915,3,5,0.0417385152,"V","V",0.0447968175,"eI","V",0.1783805325,0.0331411668,0,1.372516811,"NoGlottalStop",0,11.3898954712,0.0865353327,0.3524502588,0.0865353327,0.4389855915,0.0865353327,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,679.63,564.35,20,"Male","British English","No","Nantwich","None","A couple of phrases","Computer Gaming Technology Extended course. First Year","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",41.7385152,"Pause","No Pause",2.91435410331014,"HighFreq","unstressed-primary"
"559",3441,"unable","Experiment_1_participant_19",1858,"Participant_19_92.TextGrid","N","N","Accented","Viktoria",311,0.7666243874,3,5,0.0359853242,"V","V",0.1273095924,"aI","V",0.2584347991,0.0952918691,0.1858200571,1.9665709247,"NoGlottalStop",0,6.5220988039,0.1632949166,0.6033294708,0.1632949166,0.7666243874,0.1632949166,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,1680.43,1512.78,19,"male","British","Not bilingual","Brentwood. Essex","Can speak no other language","I know of latin but have never learnt or attempted to speak it","Film Year 1","Anglia Ruskin","NO","No","No","No","No","accented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",35.9853242,"Pause","Pause",2.03399732486648,"HighFreq","unstressed-primary"
"560",3442,"unable","Experiment_1_participant_6",4895,"Participant_6_153.TextGrid","N","N","Accented","Lara",61,0.5085228219,3,5,0.0573048169,"V","V",0.0871228911,"EI","V",0.1928032364,0,0.1737663579,1.5132678256,"NoGlottalStop",0,9.8324004055,0.144427708,0.3640951139,0.144427708,0.5085228219,0.144427708,"n#V","un",6141,17018,1802,"able",1,1,3,"unstressed","primary","transparent","word",1,691.99,605.49,32,"Male","British English","No","England. Hertfordshire","Very Basic Spanish","No","BA Fine Art","Anglia Ruskin","No","No","No","No","No","accented","Experiment_1",8.7227428743294,0,0,1,0,NA,NA,NA,NA,NA,NA,"n",1,"word",57.3048169,"No Pause","Pause",2.64328622622636,"HighFreq","unstressed-primary"
